Beschreibung,Artikelnummer,Kaufdatum,Color classification,Verkäufer,Einzelpreis,Stückzahl,Gesamtpreis
Baolian Steel Ruler 1 Meter Stainless Steel Straight Ruler Iron Steel Ruler Thickened Hard Ruler 15cm/20cm/30cm/50cm High Precision,4697317515897739241,2025-08-22,Premium Thick Steel Ruler 60cm - Double-sided Scale,Stainless Steel Products,¥0.78,10,¥7.80
19 Inch Rack Cabinet Grounding Copper Bar 3*30*500 Rack-mounted Standard Lightning Protection Computer Room Purple Bus Bar 4×40,4697334288251739241,2025-08-22,25*5*500 Spacing 465MM Purple Copper Tin-plated,Server Cabinet Supply,¥25.25,2,¥50.50
Pure Copper BVR Yellow Green Dual Color Spring Spiral Retractable Coil Type Slingshot Ground Wire Cable Tray Jumper Connection Wire,4697297139923739241,2025-08-22,4 Square Total Length 100CM Spring Spiral 100pcs (Hole 5),Industrial Cable Supply,¥239.00,1,¥239.00
Super Soft Bare Copper Wire 0.3 0.75 1 2.5 4 Square Copper Stranded Wire Connection Wire Carbon Brush Wire Purple Copper National Standard,4697321436370739241,2025-08-22,0.75 Square (1 Meter),Industrial Cable Supply,¥0.07,20,¥1.50
Polyimide Film Wrap Wire FY1-2 Military Standard Wire 0.15/0.2/0.35/0.5/0.75/1.0 Square,4697119370037739241,2025-08-21,—,Industrial Cable Supply,¥0.90,5,¥4.50
Polyimide Film Wrap Wire FY1-2 Military Standard Wire 0.15/0.2/0.35/0.5/0.75/1.0 Square,4697119370038739241,2025-08-21,—,Industrial Cable Supply,¥1.00,5,¥5.00
Polyimide Film Wrap Wire FY1-2 Military Standard Wire 0.15/0.2/0.35/0.5/0.75/1.0 Square,4697119370039739241,2025-08-21,—,Industrial Cable Supply,¥1.16,5,¥5.80
Polyimide Film Wrap Wire FY1-2 Military Standard Wire 0.15/0.2/0.35/0.5/0.75/1.0 Square,4697119370040739241,2025-08-21,—,Industrial Cable Supply,¥1.30,5,¥6.50
Polyimide Film Wrap Wire FY1-2 Military Standard Wire 0.15/0.2/0.35/0.5/0.75/1.0 Square,4697119370041739241,2025-08-21,—,Industrial Cable Supply,¥1.56,5,¥7.80
Polyimide Film Wrap Wire FY1-2 Military Standard Wire 0.15/0.2/0.35/0.5/0.75/1.0 Square,4697119370042739241,2025-08-21,—,Industrial Cable Supply,¥0.46,5,¥2.30
Polyimide Silver Plated High Voltage Wire 5KV 0.2 Square Scratch Resistant Radiation Resistant High Voltage Wire,4697119370043739241,2025-08-21,0.2 Square,Industrial Cable Supply,¥3.00,5,¥15.00
SPEEDSP/Ship SP-4000 Ion Air Gun/Ion Dust Blowing Gun with Power Generator Static Eliminator,4697179561712739241,2025-08-21,SP-4000 Ion Air Gun with Power/13% VAT Invoice,SPEEDSP Industrial Equipment,¥380.00,1,¥380.00
Huawei Totem Cabinet L-Type Bracket Network Cabinet Server Rail Bracket Angle Iron Heavy Duty Cabinet Accessories,4697278668689739241,2025-08-21,Black 560*55*35 for 800mm Deep Cabinet Single Piece,Server Cabinet Supply,¥0.38,30,¥11.50
Shanghai Mobile Phone Top-up 100 Yuan Fast Charge Direct 24 Hours Auto Top-up Quick Account,4651384644683739241,2025-07-15,—,Shanghai Mobile Official,¥100.00,1,¥100.00
Emergency Stop Start Stop PVC Sticker Machine Label Arrow Switch,4650162770807739241,2025-07-12,(PVC Film) English Red (Buy 1 Get 10 Pieces),Taobao Marketplace Vendor,¥4.66,2,¥9.31
Haitian Injection Molding Machine Parts Original Safety Door Emergency Switch Emergency Stop Switch Start Switch Installation Hole Diameter 22,4650238299837739241,2025-07-12,Contact: 1 NO + 1 NC,Haitian Machinery Parts,¥2.50,10,¥25.00
Solar Panel Side Wire Clamp Solar Photovoltaic Panel Component Accessories Spring Steel Side Wire Clamp Hook Reduce Hidden Dangers,4650134006898739241,2025-07-12,Side Wire Clamp - Spring Steel 30mm (3pcs),Solar Components Store,¥0.12,10,¥1.17
Haitian Injection Molding Machine Parts Original Safety Door Emergency Switch Emergency Stop Switch Start Switch Installation Hole Diameter 22,4650196863938739241,2025-07-12,Contact: 1 NO + 1 NC,Haitian Machinery Parts,¥2.50,10,¥25.00
304 Stainless Steel Solar Hook Base Support Solar Photovoltaic Module Roof Power Generation Adjustable Hook,4650199023538739241,2025-07-12,Stainless Steel Double Adjustable Hook,Solar Components Store,¥9.80,1,¥9.80
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880990739241,2025-07-12,Edge Clamp (35*80mm 3.0mm Thick) Set,Solar Components Store,¥0.90,2,¥1.80
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880991739241,2025-07-12,Edge Clamp (35*60mm 3.0mm Thick) Set,Solar Components Store,¥1.50,1,¥1.50
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880992739241,2025-07-12,Edge Clamp (35*50mm 3.0mm Thick) Set,Solar Components Store,¥1.40,1,¥1.40
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880993739241,2025-07-12,Edge Clamp (30*80mm 3.0mm Thick) Set,Solar Components Store,¥1.80,1,¥1.80
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880994739241,2025-07-12,Edge Clamp (30*60mm 3.0mm Thick) Set,Solar Components Store,¥1.50,1,¥1.50
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880995739241,2025-07-12,Edge Clamp (30*50mm 3.0mm Thick) Set,Solar Components Store,¥1.40,1,¥1.40
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880996739241,2025-07-12,Middle Clamp (80mm 3.0mm Thick) Set,Solar Components Store,¥1.80,1,¥1.80
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880997739241,2025-07-12,Middle Clamp (60mm 3.0mm Thick) Set,Solar Components Store,¥1.50,1,¥1.50
Solar Clamp Manufacturer Solar Photovoltaic Battery Panel Aluminum Alloy Edge Pressure Solar Clamp Middle Pressure Block Solar Accessories,4650203880998739241,2025-07-12,Middle Clamp (50mm 3.0mm Thick) Set,Solar Components Store,¥1.30,1,¥1.30
DIN 934 Titanium Nut M1.6 M2 M2.5 M3 M4 M5 M6 Pure Titanium GR2 DIN 985 M3,4650093254746739241,2025-07-10,M3 DIN934,Industrial Hardware Supply,¥0.02,50,¥0.90
DIN 934 Titanium Nut M1.6 M2 M2.5 M3 M4 M5 M6 Pure Titanium GR2 DIN 985 M3,4650093254747739241,2025-07-10,M2.5 DIN934,Industrial Hardware Supply,¥0.02,50,¥1.00
DIN 934 Titanium Nut M1.6 M2 M2.5 M3 M4 M5 M6 Pure Titanium GR2 DIN 985 M3,4650093254748739241,2025-07-10,M2 DIN934,Industrial Hardware Supply,¥0.02,50,¥1.20
DIN 934 Titanium Nut M1.6 M2 M2.5 M3 M4 M5 M6 Pure Titanium GR2 DIN 985 M3,4650093254749739241,2025-07-10,M1.6 DIN934,Industrial Hardware Supply,¥0.25,6,¥1.50
1602 LCD Screen OLED Module 1602OLED 1602 Character Screen Industrial Screen 1602 High Low Temperature,4635332821471739241,2025-06-18,White,Display Technology Store,¥75.00,1,¥75.00
SATA Tools Genuine Metric Hex Key Set Extended Extra Long Ball Head Flat Head 09112 09110,4612304882453739241,2025-06-08,7pcs Extended Flat Head/09115,SATA Tools Official Store,¥27.64,1,¥27.64
SATA Tools Genuine Metric Hex Key Set Extended Extra Long Ball Head Flat Head 09112 09110,4612304882454739241,2025-06-08,8pcs Mini Type/09119,SATA Tools Official Store,¥17.28,1,¥17.28
SATA Tools 21 Piece 03790 Electrical Electronic Repair Tool Kit Set 32 Piece Advanced Maintenance Set 03795,4612304882455739241,2025-06-08,21pcs 03790,SATA Tools Official Store,¥408.38,1,¥408.38
SATA Tools SATA 09322 21 Piece Electronic Tool Set Micro Screwdriver Pliers Set,4612311325517739241,2025-06-08,—,SATA Tools Official Store,¥173.40,1,¥173.40
VETUS Anti-magnetic Anti-acid Tweezers High Elasticity Stainless Steel Curved Pointed Tip Bird's Nest Picking Hair Anti-static Tweezers ESD-12,4612309201699739241,2025-06-08,[Gold Standard] Stainless Steel ST-13 [Free Shipping for 5+],VETUS Precision Tools,¥7.45,2,¥14.90
Maeda Utility Knife Heavy Duty All Steel Thickened Electrician Knife Special Cable Stripping Knife Frame Folding Wallpaper Knife Industrial Grade,4612354599333739241,2025-06-08,—,Maeda Tools Store,¥26.80,1,¥26.80
Deer Fairy Diagonal Pliers Needle Nose Pliers Electronic Pliers Electrical Pliers Wire Cutting Pliers Stainless Steel Water Gate Pliers Diagonal Pliers Cutting Pliers,4612324968536739241,2025-06-08,[Opening 6.5mm] Electronic Pliers 170,Deer Fairy Tools,¥7.50,1,¥7.50
Deer Fairy Diagonal Pliers Needle Nose Pliers Electronic Pliers Electrical Pliers Wire Cutting Pliers Stainless Steel Water Gate Pliers Diagonal Pliers Cutting Pliers,4612324968537739241,2025-06-08,[Tungsten Black] Industrial Grade Electronic Pliers 170,Deer Fairy Tools,¥8.90,1,¥8.90
German Import Nail Clipper Nail Cutter Nail Clipper 2025 New Single Nail Cutting Tool Set Original Tool Home Use,4608062569424739241,2025-06-05,[Single Leather Case] 2025 New Upgraded 5-piece Set A (German Precision Multi-edge),German Import Tools,¥10.95,2,¥21.90
Industrial Plug Socket Connector Waterproof Explosion-proof Aviation Male Female Connector Three Phase 3 Core 4 Core 5 Hole 16A/32A,4600894861678739241,2025-05-28,5-core 16A Connector,Taobao Marketplace Vendor,¥5.62,2,¥11.24
Industrial Plug Socket Connector Waterproof Explosion-proof Aviation Male Female Connector Three Phase 3 Core 4 Core 5 Hole 16A/32A,4600894861679739241,2025-05-28,5-core 16A Plug,Taobao Marketplace Vendor,¥5.42,2,¥10.84
[Huabo] Dewar Bottle Liquid Nitrogen Container Small Glass Liner Liquid Nitrogen Tank Straight Tube Experiment Dry Ice Cold Hydrazine Low Temperature Insulation Bottle Cup Double Layer Silver Plated Vacuum Dewar Bottle,4600885177994739241,2025-05-28,Tall Type 3500ml Inner Diameter 120X Inner Height 300,Huabo Scientific Equipment,¥823.00,1,¥823.00
Shanghai Mobile Phone Top-up 100 Yuan Fast Charge Direct 24 Hours Auto Top-up Quick Account,4404967742912739241,2025-03-15,—,Shanghai Mobile Official,¥100.00,1,¥100.00
National Standard RVV Cable Wire Home White Soft Sheath Wire 2/3 Core 1.5 2.5 4 6 Square Three Phase Power Wire,4403215693852739241,2025-03-12,White National Standard 3X2.5 Square 3500W with Plug Socket Electrical Pen Tape,Industrial Cable Supply,¥34.50,2,¥69.00
CEE Male Female Plug 16A/220V Waterproof Connector,4403493399666739241,2025-03-12,013n Plug (16A),Taobao Marketplace Vendor,¥2.32,5,¥11.60
CEE Male Female Plug 16A/220V Waterproof Connector,4403493399667739241,2025-03-12,213n Socket (16A),Taobao Marketplace Vendor,¥2.52,5,¥12.60
Raw Walnut Walnuts Shelled No Shell 500g 1000g,4403466867196739241,2025-03-12,—,Precision Hardware Store,¥69.00,1,¥69.00
Ferrule Reducing Fitting SCHIZER Shanghai,4403095849322739241,2025-03-10,1/8in Ferrule to 3mm Ferrule - Straight Reducing,Industrial Hardware Supply,¥17.50,2,¥35.00
LADIS GR3K Rack UPS Power Supply Backup Delay 10 Minutes 3KVA 2400W Server Switch,4390197266101739241,2025-02-25,—,Precision Hardware Store,¥2780.00,1,¥2780.00
Wooden Box Customization Fumigation-free Plywood Steel Strap Removable Buckle Equipment Logistics Transportation Export Packaging Wooden Box,4383502417689739241,2025-02-20,Contact Customer Service for Custom Order,Custom Packaging Solutions,¥0.79,74,¥58.78
Wooden Box Customization Fumigation-free Plywood Steel Strap Removable Buckle Equipment Logistics Transportation Export Packaging Wooden Box,4383478189902739241,2025-02-20,Contact Customer Service for Custom Order,Custom Packaging Solutions,¥25.00,1,¥25.00
[Carnival Price] Shibang Rack Storage Warehouse Storage Rack Home Storage Rack Multi-layer Storage Metal Rack Balcony Storage Rack,4381889043219739241,2025-02-18,Gray Main Frame (18 Year Quality Guarantee True Load Rating),Taobao Marketplace Vendor,¥306.00,1,¥306.00
Custom Made Free Shipping Stainless Steel Mica Heating Plate Electric Heating Plate Heating Plate Ceramic Ring Injection Molding Machine Controllable Temperature 220V,4380302523092739241,2025-02-15,"Custom Size Available, Contact Customer Service",Stainless Steel Products,¥0.09,106,¥10.00
Transparent Tape Custom Logo Printing QR Code Pattern Custom Sealing Tape Express Packaging Sealing Tape,4374300637938739241,2025-02-12,[Small Batch] Transparent Base Black Print,Adhesive Tape Supply,¥366.00,1,¥366.00
Paper Box Cardboard Box Custom Moving Packing Taobao Postal Express Paper Box 3 Layer 5 Layer 7 Layer Can Print Four Color LOGO,4373873929797739241,2025-02-10,—,Packaging Materials Store,¥0.00,1450,¥1.00
Paper Box Cardboard Box Custom Moving Packing Taobao Postal Express Paper Box 3 Layer 5 Layer 7 Layer Can Print Four Color LOGO,4374216902607739241,2025-02-10,—,Packaging Materials Store,¥0.00,1450,¥1.00
Special Shape Custom EPE Pearl Cotton Packaging Fruit Inner Tray Gift Box Shock Proof Foam Sheet Lining Sponge Custom,4372920615541739241,2025-02-08,-----------[Custom Size--Thickness--Contact Customer Service]-----------,Protective Packaging Co,¥3.57,28,¥100.00
Ultra High Vacuum Observation Window Quick Opening Door 304 Stainless Steel CF63/CF100/CF150/CF200,4371408684767739241,2025-02-05,—,Stainless Steel Products,¥3200.00,1,¥3200.00
Shanghai Mobile Phone Top-up 100 Yuan Fast Charge Direct 24 Hours Auto Top-up Quick Account,4355452695837739241,2025-01-20,—,Shanghai Mobile Official,¥100.00,1,¥100.00
MPJ-K-F Thermocouple K-Type Panel Original Import Thermocouple K-Type Panel Socket Import Thermocouple Plug,4333338831340739241,2025-01-15,—,Temperature Sensor Supply,¥0.32,10,¥3.20
K-Type Multi-strand Patch Thermocouple High Temperature Bend Resistant M6 Hole Cold Press Nose Probe Precision Type M5 M4 Gasket Couple,4333352292613739241,2025-01-15,K-Type 2M,Temperature Sensor Supply,¥4.00,5,¥20.00
Traffic Cone Connecting Rod PVC Connecting Rod Fixed Rod Telescopic Rod Reflective Isolation Rod 2m Traffic Cone Connecting Rod,4166531750082739241,2025-01-08,3m Red-White Retractable (Shipping for 20+ pieces),Taobao Marketplace Vendor,¥2.67,3,¥8.00
